Account Type,Affiliated Account,Mdm Id (Hospital Name.csv),HCPs Count
HCO,Beth Israel Deaconess Medical Center,10009334,25
HCO,UPMC Presbyterian & Shadyside,10010132,32
HCO,University of Kansas Hospital,10010748,26
HCO,Torrance Memorial Medical Center,10009509,24
HCO,Massachusetts General Hospital,10020182,18
HCO,Torrance Memorial Medical Center,10011728,24
HCO,UPMC Presbyterian & Shadyside,10020791,32
HCO,University of Kansas Hospital,10011231,26
HCO,UCLA Medical Center - Santa Monica ,10019013,36
HCO,Duke University Hospital,10011945,27
HCO,Keck Hospital of USC,10011042,36
HCO,Northwestern Memorial Hospital,10018131,31
HCO,Morristown Medical Center,10019573,29
HCO,University of Michigan Hospitals - Michigan Medicine,10009712,23
HCO,Mayo Clinic - Rochester,10011259,26
HCO,Northwestern Memorial Hospital,10019188,31
HCO,Morristown Medical Center,10018950,29
HCO,Rush University Medical Center,10009985,22
HCO,University of Michigan Hospitals - Michigan Medicine,10018110,23
HCO,Mayo Clinic - Rochester,10020532,26
HCO,Tufts Medical Center,10020539,28
HCO,Beth Israel Deaconess Medical Center,10010209,25
HCO,The Mount Sinai Hospital,10010363,23
HCO,Brigham And Women's Hospital,10009614,29
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010986,18
HCO,UT Southwestern Medical Center,10019643,28
HCO,UCLA Medical Center - Santa Monica ,10018859,36
HCO,Beth Israel Deaconess Medical Center,10021090,25
HCO,Rush University Medical Center,10018656,22
HCO,Cedars-Sinai Medical Center,10010125,24
HCO,Ohio State University Wexner Medical Center,10009929,24
HCO,UCLA Medical Center - Santa Monica ,10011035,36
HCO,Ronald Reagan UCLA Medical Center,10020336,18
HCO,Rush University Medical Center,10018663,22
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011091,18
HCO,University of Wisconsin Hospitals,10011070,17
HCO,Mayo Clinic - Phoenix,10021083,26
HCO,Tufts Medical Center,10009110,28
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010643,18
HCO,UAB Hospital,10010335,24
HCO,Torrance Memorial Medical Center,10019195,24
HCO,Massachusetts General Hospital,10021027,18
HCO,Torrance Memorial Medical Center,10010314,24
HCO,Northwestern Memorial Hospital,10018579,31
HCO,UPMC Presbyterian & Shadyside,10011070,32
HCO,University Hospitals Cleveland Medical Center,10011826,34
HCO,Ohio State University Wexner Medical Center,10010573,24
HCO,Scripps La Jolla Hospitals,10020364,16
HCO,University of Michigan Hospitals - Michigan Medicine,10018152,23
HCO,The Johns Hopkins Hospital,10019307,30
HCO,"University of California, Davis Medical Center",10021209,57
HCO,The Johns Hopkins Hospital,10012071,30
HCO,University Hospitals Cleveland Medical Center,10018824,34
HCO,Massachusetts General Hospital,10011413,18
HCO,Mayo Clinic - Phoenix,10020350,26
HCO,Beth Israel Deaconess Medical Center,10020294,25
HCO,UCSF Medical Center,10020791,26
HCO,Keck Hospital of USC,10020588,36
HCO,Cedars-Sinai Medical Center,10020840,24
HCO,UT Southwestern Medical Center,10019951,28
HCO,"University of California, Davis Medical Center",10018369,57
HCO,Mayo Clinic - Rochester,10010853,26
HCO,Ronald Reagan UCLA Medical Center,10020623,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019440,18
HCO,"University of California, Davis Medical Center",10011525,57
HCO,Cleveland Clinic Fairview Hospital,10009390,32
HCO,Ronald Reagan UCLA Medical Center,10018796,18
HCO,Stanford Health Care-Stanford Hospital,10010188,22
HCO,Beth Israel Deaconess Medical Center,10011112,25
HCO,University Hospitals Cleveland Medical Center,10019209,34
HCO,Baylor University Medical Center,10011868,27
HCO,UAB Hospital,10010461,24
HCO,Brigham And Women's Hospital,10009474,29
HCO,Keck Hospital of USC,10010524,36
HCO,Rush University Medical Center,10009537,22
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10020385,26
HCO,Barnes-Jewish Hospital,10021363,24
HCO,Keck Hospital of USC,10009390,36
HCO,Rush University Medical Center,10011931,22
HCO,Cleveland Clinic,10018467,23
HCO,University of Michigan Hospitals - Michigan Medicine,10009145,23
HCO,NYU Langone Hospitals,10010090,12
HCO,Vanderbilt University Medical Center,10011357,27
HCO,UCSF Medical Center,10019937,26
HCO,Duke University Hospital,10019657,27
HCO,Rush University Medical Center,10011070,22
HCO,Stanford Health Care-Stanford Hospital,10019083,22
HCO,NYU Langone Hospitals,10021328,12
HCO,UT Southwestern Medical Center,10021265,28
HCO,UCLA Medical Center - Santa Monica ,10019412,36
HCO,UCSF Medical Center,10010986,26
HCO,University of Kansas Hospital,10010958,26
HCO,Mayo Clinic - Rochester,10018859,26
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10019853,26
HCO,Keck Hospital of USC,10021118,36
HCO,Emory University Hospital,10010874,32
HCO,Ronald Reagan UCLA Medical Center,10018145,18
HCO,Cleveland Clinic Fairview Hospital,10018138,32
HCO,UT Southwestern Medical Center,10010706,28
HCO,University of Colorado Hospital,10011133,22
HCO,Mayo Clinic - Rochester,10018712,26
HCO,Stanford Health Care-Stanford Hospital,10020098,22
HCO,Northwestern Memorial Hospital,10011301,31
HCO,Tufts Medical Center,10021223,28
HCO,Keck Hospital of USC,10011791,36
HCO,University of Kansas Hospital,10019153,26
HCO,UT Southwestern Medical Center,10018145,28
HCO,Beth Israel Deaconess Medical Center,10012015,25
HCO,The Mount Sinai Hospital,10011735,23
HCO,Ohio State University Wexner Medical Center,10011056,24
HCO,University Hospitals Cleveland Medical Center,10021335,34
HCO,The Mount Sinai Hospital,10020805,23
HCO,Mayo Clinic - Phoenix,10011791,26
HCO,University of Wisconsin Hospitals,10010349,17
HCO,Torrance Memorial Medical Center,10011084,24
HCO,Torrance Memorial Medical Center,10009999,24
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10010216,28
HCO,University of Wisconsin Hospitals,10010300,17
HCO,Torrance Memorial Medical Center,10011560,24
HCO,Beth Israel Deaconess Medical Center,10019937,25
HCO,UAB Hospital,10011448,24
HCO,Mayo Clinic - Rochester,10010321,26
HCO,Ronald Reagan UCLA Medical Center,10010265,18
HCO,Scripps La Jolla Hospitals,10010244,16
HCO,Baylor University Medical Center,10011147,27
HCO,The Johns Hopkins Hospital,10018992,30
HCO,Northwestern Memorial Hospital,10019755,31
HCO,Tufts Medical Center,10018992,28
HCO,Mayo Clinic - Phoenix,10019279,26
HCO,Duke University Hospital,10010797,27
HCO,Mayo Clinic - Rochester,10009656,26
HCO,Tufts Medical Center,10019629,28
HCO,Emory University Hospital,10010573,32
HCO,UT Southwestern Medical Center,10009929,28
HCO,Emory University Hospital,10010363,32
HCO,Cleveland Clinic,10021321,23
HCO,Cedars-Sinai Medical Center,10011819,24
HCO,UT Southwestern Medical Center,10009229,28
HCO,The Mount Sinai Hospital,10018432,23
HCO,"University of California, Davis Medical Center",10011630,57
HCO,The Mount Sinai Hospital,10009523,23
HCO,Morristown Medical Center,10009474,29
HCO,University of Wisconsin Hospitals,10019671,17
HCO,Cleveland Clinic Fairview Hospital,10009586,32
HCO,Cleveland Clinic,10018677,23
HCO,"University of California, Davis Medical Center",10010468,57
HCO,Mayo Clinic - Phoenix,10011714,26
HCO,The Johns Hopkins Hospital,10020294,30
HCO,University of Michigan Hospitals - Michigan Medicine,10010916,23
HCO,Keck Hospital of USC,10009187,36
HCO,University Hospitals Cleveland Medical Center,10010524,34
HCO,Beth Israel Deaconess Medical Center,10009838,25
HCO,Massachusetts General Hospital,10011994,18
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10020483,28
HCO,Cleveland Clinic Fairview Hospital,10011154,32
HCO,UPMC Presbyterian & Shadyside,10021167,32
HCO,Baylor University Medical Center,10011560,27
HCO,Baylor University Medical Center,10019286,27
HCO,"University of California, Davis Medical Center",10011462,57
HCO,University of Michigan Hospitals - Michigan Medicine,10011910,23
HCO,"University of California, Davis Medical Center",10010167,57
HCO,Brigham And Women's Hospital,10010034,29
HCO,University of Wisconsin Hospitals,10011798,17
HCO,Beth Israel Deaconess Medical Center,10019496,25
HCO,Cedars-Sinai Medical Center,10010636,24
HCO,UCSF Medical Center,10020693,26
HCO,Stanford Health Care-Stanford Hospital,10009607,22
HCO,Cedars-Sinai Medical Center,10010062,24
HCO,Vanderbilt University Medical Center,10019181,27
HCO,Massachusetts General Hospital,10011574,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019832,18
HCO,UAB Hospital,10011406,24
HCO,The Johns Hopkins Hospital,10020413,30
HCO,Cleveland Clinic,10018887,23
HCO,UPMC Presbyterian & Shadyside,10009201,32
HCO,"University of California, Davis Medical Center",10018551,57
HCO,UCLA Medical Center - Santa Monica ,10009628,36
HCO,Duke University Hospital,10019251,27
HCO,Mayo Clinic - Phoenix,10010076,26
HCO,The Johns Hopkins Hospital,10021335,30
HCO,Barnes-Jewish Hospital,10009537,24
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011343,28
HCO,Keck Hospital of USC,10019720,36
HCO,Ronald Reagan UCLA Medical Center,10019650,18
HCO,Baylor University Medical Center,10018250,27
HCO,Beth Israel Deaconess Medical Center,10020070,25
HCO,Keck Hospital of USC,10021125,36
HCO,Barnes-Jewish Hospital,10009180,24
HCO,Vanderbilt University Medical Center,10010510,27
HCO,Baylor University Medical Center,10019048,27
HCO,Tufts Medical Center,10010139,28
HCO,University Hospitals Cleveland Medical Center,10011945,34
HCO,Beth Israel Deaconess Medical Center,10010776,25
HCO,Cleveland Clinic Fairview Hospital,10019657,32
HCO,The Johns Hopkins Hospital,10019944,30
HCO,UT Southwestern Medical Center,10010797,28
HCO,The Mount Sinai Hospital,10010797,23
HCO,Northwestern Memorial Hospital,10011511,31
HCO,University of Kansas Hospital,10018789,26
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10010965,26
HCO,Beth Israel Deaconess Medical Center,10009432,25
HCO,UAB Hospital,10020406,24
HCO,UPMC Presbyterian & Shadyside,10020357,32
HCO,University Hospitals Cleveland Medical Center,10009810,34
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10018565,26
HCO,Brigham And Women's Hospital,10012043,29
HCO,Cleveland Clinic,10010461,23
HCO,Rush University Medical Center,10011546,22
HCO,Baylor University Medical Center,10009397,27
HCO,UPMC Presbyterian & Shadyside,10009502,32
HCO,Emory University Hospital,10009138,32
HCO,Tufts Medical Center,10018558,28
HCO,Beth Israel Deaconess Medical Center,10010573,25
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10018159,28
HCO,Ohio State University Wexner Medical Center,10011497,24
HCO,UCLA Medical Center - Santa Monica ,10011812,36
HCO,Rush University Medical Center,10020189,22
HCO,Cedars-Sinai Medical Center,10018663,24
HCO,Keck Hospital of USC,10009929,36
HCO,Brigham And Women's Hospital,10020070,29
HCO,Torrance Memorial Medical Center,10021125,24
HCO,UPMC Presbyterian & Shadyside,10009586,32
HCO,UPMC Presbyterian & Shadyside,10011483,32
HCO,UCSF Medical Center,10020546,26
HCO,University of Michigan Hospitals - Michigan Medicine,10019923,23
HCO,University Hospitals Cleveland Medical Center,10018663,34
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10018320,26
HCO,"University of California, Davis Medical Center",10020042,57
HCO,Tufts Medical Center,10009418,28
HCO,UPMC Presbyterian & Shadyside,10011336,32
HCO,Barnes-Jewish Hospital,10009453,24
HCO,Mayo Clinic - Rochester,10019769,26
HCO,Vanderbilt University Medical Center,10018950,27
HCO,UPMC Presbyterian & Shadyside,10010930,32
HCO,Mayo Clinic - Phoenix,10010944,26
HCO,Mayo Clinic - Phoenix,10020196,26
HCO,Vanderbilt University Medical Center,10010818,27
HCO,Rush University Medical Center,10009523,22
HCO,Torrance Memorial Medical Center,10010027,24
HCO,Cedars-Sinai Medical Center,10020728,24
HCO,University of Colorado Hospital,10018831,22
HCO,Duke University Hospital,10011378,27
HCO,Barnes-Jewish Hospital,10020546,24
HCO,University of Kansas Hospital,10009838,26
HCO,Cedars-Sinai Medical Center,10018803,24
HCO,Cleveland Clinic Fairview Hospital,10018698,32
HCO,Duke University Hospital,10019608,27
HCO,University of Kansas Hospital,10019398,26
HCO,Emory University Hospital,10018166,32
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10009579,28
HCO,UPMC Presbyterian & Shadyside,10021419,32
HCO,Brigham And Women's Hospital,10011497,29
HCO,NYU Langone Hospitals,10010902,12
HCO,UPMC Presbyterian & Shadyside,10011567,32
HCO,"University of California, Davis Medical Center",10020441,57
HCO,Duke University Hospital,10018782,27
HCO,Stanford Health Care-Stanford Hospital,10018656,22
HCO,Cleveland Clinic Fairview Hospital,10011042,32
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10021279,28
HCO,Brigham And Women's Hospital,10020672,29
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10011280,26
HCO,Tufts Medical Center,10010349,28
HCO,Stanford Health Care-Stanford Hospital,10018936,22
HCO,Mayo Clinic - Rochester,10020553,26
HCO,The Johns Hopkins Hospital,10019895,30
HCO,UCLA Medical Center - Santa Monica ,10011819,36
HCO,Northwestern Memorial Hospital,10019286,31
HCO,Rush University Medical Center,10010013,22
HCO,"University of California, Davis Medical Center",10011126,57
HCO,Keck Hospital of USC,10019657,36
HCO,Beth Israel Deaconess Medical Center,10019174,25
HCO,Vanderbilt University Medical Center,10019188,27
HCO,Duke University Hospital,10009222,27
HCO,Cleveland Clinic,10011658,23
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011539,28
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10009740,18
HCO,Ronald Reagan UCLA Medical Center,10020770,18
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10020329,26
HCO,Rush University Medical Center,10011616,22
HCO,University of Kansas Hospital,10011882,26
HCO,University of Michigan Hospitals - Michigan Medicine,10020014,23
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011994,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011112,18
HCO,Ronald Reagan UCLA Medical Center,10009089,18
HCO,Emory University Hospital,10009642,32
HCO,Ohio State University Wexner Medical Center,10011637,24
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10020448,18
HCO,UCLA Medical Center - Santa Monica ,10010776,36
HCO,The Johns Hopkins Hospital,10018516,30
HCO,Ohio State University Wexner Medical Center,10010993,24
HCO,University of Colorado Hospital,10009796,22
HCO,UAB Hospital,10019216,24
HCO,University of Colorado Hospital,10021104,22
HCO,"University of California, Davis Medical Center",10021391,57
HCO,UCLA Medical Center - Santa Monica ,10019622,36
HCO,Cedars-Sinai Medical Center,10011133,24
HCO,Cleveland Clinic,10020140,23
HCO,"University of California, Davis Medical Center",10012043,57
HCO,University Hospitals Cleveland Medical Center,10009789,34
HCO,Massachusetts General Hospital,10010979,18
HCO,Vanderbilt University Medical Center,10020028,27
HCO,Ohio State University Wexner Medical Center,10009495,24
HCO,Tufts Medical Center,10011000,28
HCO,Morristown Medical Center,10019307,29
HCO,Keck Hospital of USC,10010237,36
HCO,UT Southwestern Medical Center,10019895,28
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10009859,28
HCO,University of Kansas Hospital,10021069,26
HCO,Ronald Reagan UCLA Medical Center,10009572,18
HCO,Emory University Hospital,10018530,32
HCO,Rush University Medical Center,10009481,22
HCO,Massachusetts General Hospital,10019559,18
HCO,UAB Hospital,10009516,24
HCO,Northwestern Memorial Hospital,10018796,31
HCO,UPMC Presbyterian & Shadyside,10018600,32
HCO,NYU Langone Hospitals,10011672,12
HCO,Duke University Hospital,10009348,27
HCO,Northwestern Memorial Hospital,10010986,31
HCO,Baylor University Medical Center,10010461,27
HCO,Northwestern Memorial Hospital,10010545,31
HCO,The Mount Sinai Hospital,10011392,23
HCO,Barnes-Jewish Hospital,10009761,24
HCO,Morristown Medical Center,10010496,29
HCO,Ohio State University Wexner Medical Center,10020686,24
HCO,Morristown Medical Center,10011784,29
HCO,Brigham And Women's Hospital,10012050,29
HCO,Torrance Memorial Medical Center,10010608,24
HCO,University of Michigan Hospitals - Michigan Medicine,10010930,23
HCO,UCLA Medical Center - Santa Monica ,10018131,36
HCO,Cedars-Sinai Medical Center,10020133,24
HCO,University of Michigan Hospitals - Michigan Medicine,10010104,23
HCO,Morristown Medical Center,10010139,29
HCO,"University of California, Davis Medical Center",10009558,57
HCO,Rush University Medical Center,10009831,22
HCO,Emory University Hospital,10011434,32
HCO,Barnes-Jewish Hospital,10011903,24
HCO,Emory University Hospital,10020805,32
HCO,Stanford Health Care-Stanford Hospital,10019363,22
HCO,Mayo Clinic - Rochester,10011567,26
HCO,Morristown Medical Center,10011665,29
HCO,Morristown Medical Center,10021146,29
HCO,Mayo Clinic - Rochester,10009180,26
HCO,Morristown Medical Center,10009712,29
HCO,University of Colorado Hospital,10020245,22
HCO,Stanford Health Care-Stanford Hospital,10009789,22
HCO,Ohio State University Wexner Medical Center,10009159,24
HCO,Rush University Medical Center,10019608,22
HCO,Ohio State University Wexner Medical Center,10019671,24
HCO,UPMC Presbyterian & Shadyside,10011791,32
HCO,Mayo Clinic - Rochester,10009845,26
HCO,Baylor University Medical Center,10021265,27
HCO,"University of California, Davis Medical Center",10011175,57
HCO,Morristown Medical Center,10019965,29
HCO,Vanderbilt University Medical Center,10011329,27
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10019377,26
HCO,UCSF Medical Center,10020609,26
HCO,Emory University Hospital,10019146,32
HCO,University of Michigan Hospitals - Michigan Medicine,10009453,23
HCO,Emory University Hospital,10019118,32
HCO,The Johns Hopkins Hospital,10018264,30
HCO,University of Colorado Hospital,10010853,22
HCO,Northwestern Memorial Hospital,10009810,31
HCO,Emory University Hospital,10009796,32
HCO,Baylor University Medical Center,10020238,27
HCO,Torrance Memorial Medical Center,10011553,24
HCO,Stanford Health Care-Stanford Hospital,10011917,22
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10018831,28
HCO,University of Michigan Hospitals - Michigan Medicine,10019860,23
HCO,Stanford Health Care-Stanford Hospital,10011315,22
HCO,Scripps La Jolla Hospitals,10009404,16
HCO,UCLA Medical Center - Santa Monica ,10018306,36
HCO,The Johns Hopkins Hospital,10010748,30
HCO,The Mount Sinai Hospital,10019615,23
HCO,Barnes-Jewish Hospital,10019006,24
HCO,"University of California, Davis Medical Center",10020168,57
HCO,UAB Hospital,10020273,24
HCO,University of Colorado Hospital,10009621,22
HCO,The Johns Hopkins Hospital,10019503,30
HCO,University of Michigan Hospitals - Michigan Medicine,10019195,23
HCO,Barnes-Jewish Hospital,10010860,24
HCO,Keck Hospital of USC,10021300,36
HCO,"University of California, Davis Medical Center",10012050,57
HCO,Mayo Clinic - Phoenix,10019216,26
HCO,Northwestern Memorial Hospital,10010881,31
HCO,Mayo Clinic - Phoenix,10009537,26
HCO,University of Kansas Hospital,10018698,26
HCO,Brigham And Women's Hospital,10010664,29
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10019608,28
HCO,Emory University Hospital,10010671,32
HCO,Emory University Hospital,10011007,32
HCO,Emory University Hospital,10018348,32
HCO,Cleveland Clinic,10019860,23
HCO,Baylor University Medical Center,10019223,27
HCO,Rush University Medical Center,10011959,22
HCO,University of Michigan Hospitals - Michigan Medicine,10019139,23
HCO,Mayo Clinic - Phoenix,10009838,26
HCO,University of Michigan Hospitals - Michigan Medicine,10009327,23
HCO,The Johns Hopkins Hospital,10011455,30
HCO,Duke University Hospital,10011945,27
HCO,The Mount Sinai Hospital,10020175,23
HCO,Mayo Clinic - Rochester,10020119,26
HCO,Beth Israel Deaconess Medical Center,10019153,25
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011497,28
HCO,University Hospitals Cleveland Medical Center,10009768,34
HCO,University of Colorado Hospital,10019125,22
HCO,Ronald Reagan UCLA Medical Center,10011014,18
HCO,Barnes-Jewish Hospital,10018523,24
HCO,Keck Hospital of USC,10010587,36
HCO,Emory University Hospital,10020259,32
HCO,The Mount Sinai Hospital,10018586,23
HCO,The Johns Hopkins Hospital,10011553,30
HCO,Cleveland Clinic,10010076,23
HCO,University of Kansas Hospital,10009761,26
HCO,UCLA Medical Center - Santa Monica ,10019811,36
HCO,University Hospitals Cleveland Medical Center,10009229,34
HCO,Beth Israel Deaconess Medical Center,10010713,25
HCO,The Mount Sinai Hospital,10019265,23
HCO,The Mount Sinai Hospital,10009705,23
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10021244,18
HCO,The Mount Sinai Hospital,10009222,23
HCO,Cleveland Clinic Fairview Hospital,10019818,32
HCO,Rush University Medical Center,10018348,22
HCO,UCLA Medical Center - Santa Monica ,10019048,36
HCO,Northwestern Memorial Hospital,10010489,31
HCO,Emory University Hospital,10010321,32
HCO,University of Colorado Hospital,10019545,22
HCO,NYU Langone Hospitals,10009110,12
HCO,"University of California, Davis Medical Center",10010601,57
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011042,28
HCO,Torrance Memorial Medical Center,10009103,24
HCO,UCLA Medical Center - Santa Monica ,10021342,36
HCO,NYU Langone Hospitals,10009740,12
HCO,NYU Langone Hospitals,10010027,12
HCO,NYU Langone Hospitals,10010146,12
HCO,NYU Langone Hospitals,10010146,12
HCO,NYU Langone Hospitals,10010202,12
HCO,NYU Langone Hospitals,10010279,12
HCO,NYU Langone Hospitals,10010335,12
HCO,NYU Langone Hospitals,10010734,12
HCO,NYU Langone Hospitals,10010818,12
HCO,NYU Langone Hospitals,10011777,12
HCO,NYU Langone Hospitals,10011826,12
HCO,NYU Langone Hospitals,10012176,12
HCO,NYU Langone Hospitals,10013030,12
HCO,NYU Langone Hospitals,10018327,12
HCO,NYU Langone Hospitals,10018586,12
HCO,NYU Langone Hospitals,10018705,12
HCO,NYU Langone Hospitals,10018817,12
HCO,NYU Langone Hospitals,10018859,12
HCO,NYU Langone Hospitals,10019321,12
HCO,NYU Langone Hospitals,10019461,12
HCO,NYU Langone Hospitals,10019468,12
HCO,NYU Langone Hospitals,10019489,12
HCO,NYU Langone Hospitals,10019755,12
HCO,NYU Langone Hospitals,10019846,12
HCO,NYU Langone Hospitals,10020378,12
HCO,NYU Langone Hospitals,10020511,12
HCO,NYU Langone Hospitals,10020567,12
HCO,NYU Langone Hospitals,10020651,12
HCO,Scripps La Jolla Hospitals,10009957,16
HCO,Scripps La Jolla Hospitals,10010265,16
HCO,Scripps La Jolla Hospitals,10010888,16
HCO,Scripps La Jolla Hospitals,10011182,16
HCO,Scripps La Jolla Hospitals,10011203,16
HCO,Scripps La Jolla Hospitals,10011749,16
HCO,Scripps La Jolla Hospitals,10012218,16
HCO,Scripps La Jolla Hospitals,10012260,16
HCO,Scripps La Jolla Hospitals,10018362,16
HCO,Scripps La Jolla Hospitals,10018404,16
HCO,Scripps La Jolla Hospitals,10018446,16
HCO,Scripps La Jolla Hospitals,10018474,16
HCO,Scripps La Jolla Hospitals,10018509,16
HCO,Scripps La Jolla Hospitals,10018565,16
HCO,Scripps La Jolla Hospitals,10018698,16
HCO,Scripps La Jolla Hospitals,10019398,16
HCO,Scripps La Jolla Hospitals,10020189,16
HCO,Scripps La Jolla Hospitals,10020581,16
HCO,University of Wisconsin Hospitals,10009124,17
HCO,University of Wisconsin Hospitals,10009348,17
HCO,University of Wisconsin Hospitals,10010258,17
HCO,University of Wisconsin Hospitals,10010293,17
HCO,University of Wisconsin Hospitals,10010594,17
HCO,University of Wisconsin Hospitals,10010608,17
HCO,University of Wisconsin Hospitals,10010839,17
HCO,University of Wisconsin Hospitals,10011077,17
HCO,University of Wisconsin Hospitals,10011595,17
HCO,University of Wisconsin Hospitals,10011721,17
HCO,University of Wisconsin Hospitals,10012162,17
HCO,University of Wisconsin Hospitals,10012463,17
HCO,University of Wisconsin Hospitals,10018264,17
HCO,University of Wisconsin Hospitals,10018306,17
HCO,University of Wisconsin Hospitals,10019174,17
HCO,University of Wisconsin Hospitals,10019265,17
HCO,University of Wisconsin Hospitals,10019363,17
HCO,University of Wisconsin Hospitals,10019594,17
HCO,University of Wisconsin Hospitals,10019594,17
HCO,University of Wisconsin Hospitals,10019734,17
HCO,University of Wisconsin Hospitals,10019748,17
HCO,University of Wisconsin Hospitals,10020042,17
HCO,University of Wisconsin Hospitals,10020077,17
HCO,University of Wisconsin Hospitals,10020245,17
HCO,University of Wisconsin Hospitals,10020406,17
HCO,University of Wisconsin Hospitals,10020546,17
HCO,Massachusetts General Hospital,10009432,18
HCO,Massachusetts General Hospital,10009600,18
HCO,Massachusetts General Hospital,10009985,18
HCO,Massachusetts General Hospital,10010713,18
HCO,Massachusetts General Hospital,10010762,18
HCO,Massachusetts General Hospital,10011056,18
HCO,Massachusetts General Hospital,10011861,18
HCO,Massachusetts General Hospital,10012330,18
HCO,Massachusetts General Hospital,10012358,18
HCO,Massachusetts General Hospital,10012631,18
HCO,Massachusetts General Hospital,10012631,18
HCO,Massachusetts General Hospital,10013023,18
HCO,Massachusetts General Hospital,10013065,18
HCO,Massachusetts General Hospital,10013198,18
HCO,Massachusetts General Hospital,10018551,18
HCO,Massachusetts General Hospital,10019153,18
HCO,Massachusetts General Hospital,10019286,18
HCO,Massachusetts General Hospital,10020434,18
HCO,Massachusetts General Hospital,10020742,18
HCO,Massachusetts General Hospital,10021020,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10009159,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10009299,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10009453,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10009502,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10009684,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010216,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010475,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010573,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010622,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010706,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10010888,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011056,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011441,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011518,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10012820,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018201,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018523,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018544,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018670,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018845,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018936,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019370,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019433,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019517,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019573,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019580,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019748,18
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019797,18
HCO,Ronald Reagan UCLA Medical Center,10009089,18
HCO,Ronald Reagan UCLA Medical Center,10009110,18
HCO,Ronald Reagan UCLA Medical Center,10009243,18
HCO,Ronald Reagan UCLA Medical Center,10009831,18
HCO,Ronald Reagan UCLA Medical Center,10009999,18
HCO,Ronald Reagan UCLA Medical Center,10010251,18
HCO,Ronald Reagan UCLA Medical Center,10010650,18
HCO,Ronald Reagan UCLA Medical Center,10010678,18
HCO,Ronald Reagan UCLA Medical Center,10010706,18
HCO,Ronald Reagan UCLA Medical Center,10010797,18
HCO,Ronald Reagan UCLA Medical Center,10010972,18
HCO,Ronald Reagan UCLA Medical Center,10011406,18
